Date,"Spend (Cost, Amount Spent)",Action Link Clicks,Impressions,Action Leads,Ad ID,Ad Name,Instagram Permalink URL,Adset Name,Campaign ID,Campaign Name,Action Landing Page View,Action Video View,Video 15 Sec Watched Actions,Video 50 Percent Watched Actions,Video 75 Percent Watched Actions,Video 95 Percent Watched Actions
2026-06-04,"61,61",7,994,0,120247954574150229,teste-tmb_jun26-lead-adi01,https://www.instagram.com/p/DZGFAfuAOvs/,TMB_jun26-lead-adi01-ca01-base-clientes_lookalike1p,120247954574120229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_04,5,0,0,0,0,0
2026-06-04,"63,81",12,1167,2,120247572122990229,teste-tmb_mai26-lead-adc17,https://www.instagram.com/p/DY6Hzh6ALZR/,TMB_mai26-lead-adc17-ca01-base-clientes_lookalike1p,120247572122080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_01,9,0,0,0,0,0
2026-06-04,"71,38",5,882,0,120247959667870229,teste-tmb_jun26-lead-adv07,https://www.instagram.com/p/DZGFBBRAIqv/,TMB_jun26-lead-adv07-ca01-base-clientes_lookalike1p,120247959667840229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_08,4,166,44,44,20,14
2026-06-04,"71,47",7,1133,1,120247959478540229,teste-tmb_jun26-lead-adv04,https://www.instagram.com/p/DZGFB3LANBP/,TMB_jun26-lead-adv04-ca01-base-clientes_lookalike1p,120247959478610229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_07,7,303,46,47,26,14
2026-06-04,"98,18",11,442,1,120246685162870229,tmb_mar26-lead-adi03,https://www.instagram.com/p/DWz8sVnAIOj/,drop-30_44,120246685162830229,perpetuo-lead-frio-drop-mista-mql_300k,8,6,4,6,5,4
2026-06-04,"114,95",15,1841,1,120247572122980229,teste-tmb_mai26-lead-adc16,https://www.instagram.com/p/DY6HzoaAN97/,TMB_mai26-lead-adc016-ca01-base-clientes_lookalike1p,120247572122080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_01,10,0,0,0,0,0
2026-06-04,"129,68",12,1177,1,120246685162900229,tmb_out23-lead-boleto-adv01-3-nova_pg,https://www.instagram.com/p/DYj9usiAGn1/,drop-30_44,120246685162830229,perpetuo-lead-frio-drop-mista-mql_300k,10,278,38,16,8,5
2026-06-04,"143,85",33,2201,3,120247966513420229,tmb_jan26-lead-adv11,https://www.instagram.com/p/DZoLZ1igPg3/,lead-publico_sugerido,120247966513250229,perpetuo-lead-frio-publico_sugerido-nova_pg-v2,20,269,107,175,130,113
2026-06-04,"180,05",21,1747,1,120247572339670229,teste-tmb_mai26-lead-adc23,https://www.instagram.com/p/DY6Hza4gNKf/,TMB_mai26-lead-adc23-ca01-base-clientes_lookalike1p,120247572339630229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_02,18,0,0,0,0,0
2026-06-04,"188,04",42,2327,0,120246790260250229,tmb_mai26-lead-adv04,https://www.instagram.com/p/DYVx2HygOck/,lead-aberta,120246790165500229,perpetuo-lead-frio-aberta-mql_300k-leva_02,24,644,119,83,45,24
